Open,High,Low,Close,Volume,Symbol,MA50,MA200,ATR,RSI,Price_Momentum,Volume_Change,MACD,Bollinger_High,Bollinger_Low,Stoch_%K,Stoch_%D,Keltner_High,Keltner_Low,Keltner_Middle,Rolling_Mean,Rolling_Std,Z-Score,Williams_%R,Symbol_Encoded,Date,Day_Sin,Day_Cos,Month_Sin,Month_Cos,Close_Diff,Label,Predicted_Label,Entry_Price,Stop_Loss,Take_Profit
52.18,52.56,52.15,52.46,44912.0,REXR,50.946000000000005,49.8094,0.2897340725712034,76.90663189798151,2.7619980411361484,2.4104335940466246,0.0807036187760987,52.3905208004019,50.4794791995981,91.07142857142864,83.00264550264573,51.699666666666666,51.15566666666667,51.42766666666667,51.435,0.4901718280897137,2.091103448345052,-8.928571428571345,27.0,2024-08-26 10:00:00-04:00,-0.848644257494751,0.5289640103269624,-0.8660254037844384,-0.5000000000000004,0.3299999999999983,0,-1,52.46,53.03946814514241,51.59079778228639
50.9,51.24,50.89,51.23,106117.0,REXR,49.952,50.33599999999999,0.3457007858375026,68.85964799176718,2.9334940727345664,0.6603091654410613,0.1383723312716216,51.20996268591771,49.06603731408228,99.43820224719072,90.7592361400101,50.471999999999994,49.801,50.1365,50.138,0.5499052549973186,1.9857966260121,-0.5617977528092758,27.0,2024-09-16 13:00:00-04:00,-0.101168321987432,-0.9948693233918952,-1.0,-1.8369701987210294e-16,0.3299999999999983,0,-1,51.23,51.921401571675005,50.19289764248749
52.0,52.24,52.0,52.18,86200.0,REXR,50.57639999999999,50.54639999999999,0.4045400485007229,68.80928089517064,1.6163583252190812,-0.2213188798554651,0.0459763430716143,51.98828010044976,50.77771989955023,95.65217391304331,87.49731036624587,51.774,51.02,51.397000000000006,51.383,0.3105021400046946,2.5668100064880512,-4.347826086956679,27.0,2024-09-19 12:00:00-04:00,-0.651372482722222,-0.7587581226927911,-1.0,-1.8369701987210294e-16,0.1899999999999977,0,-1,52.18,52.98908009700145,50.96637985449783
26.5,26.54,25.84,26.54,1603.0,KRT,25.592599999999997,27.519050000000004,0.341699456292141,70.2051791981617,5.025722200237434,-0.7135965695908523,0.1278411748132774,26.4252836403953,24.7327163596047,100.0,92.4773852193207,25.851333333333333,25.305333333333333,25.578333333333333,25.579,0.4341343473846979,2.2136004805637524,-0.0,18.0,2024-08-26 09:30:00-04:00,-0.848644257494751,0.5289640103269624,-0.8660254037844384,-0.5000000000000004,0.2100000000000008,0,-1,26.54,27.22339891258428,25.514901631123575
25.37,25.56,25.29,25.56,3071.0,KRT,24.4918,25.46775,0.2196222532375954,70.28371591653914,2.857142857142846,0.1374074074074074,0.0901446891255178,25.521835025006123,24.01116497499388,100.0,94.70991970991982,24.9045,24.5665,24.7355,24.7665,0.3874786921139905,2.0478545430997843,-0.0,18.0,2024-09-13 13:00:00-04:00,0.485301962531081,-0.8743466161445821,-1.0,-1.8369701987210294e-16,0.3699999999999974,0,-1,25.56,25.99924450647519,24.901133240287212
26.87,26.87,26.48,26.78,1255.0,KRT,25.2356,25.24585,0.2750844467905747,73.90627246571225,3.158705701078583,-0.2690739662201514,0.0320099518378589,26.590867110705112,25.242132889294897,92.8,72.55398734336787,26.09116666666667,25.711166666666667,25.901166666666665,25.916500000000003,0.3459430284708273,2.4960757377216973,-7.199999999999989,18.0,2024-09-19 10:00:00-04:00,-0.651372482722222,-0.7587581226927911,-1.0,-1.8369701987210294e-16,0.370000000000001,0,-1,26.78,27.33016889358115,25.954746659628277
35.28,36.26,34.91,36.16,245174.0,MTCH,34.664,34.35865,0.4100511501589719,68.53254173289172,2.089215132693379,-0.6180120497883419,0.0708381918290124,35.93279838270569,34.02220161729431,94.3502824858756,72.66015093405893,35.3005,34.5745,34.9375,34.9775,0.4900577302189994,2.4129810164846415,-5.6497175141243865,23.0,2024-08-19 09:30:00-04:00,-0.651372482722222,-0.7587581226927911,-0.8660254037844384,-0.5000000000000004,0.9699999999999988,0,-1,36.16,36.98010230031794,34.92984654952308
36.19,36.46,36.18,36.35,456114.0,MTCH,34.6994,34.38605,0.4021903537190456,70.25177513487466,2.654617339734552,0.8603685545775652,0.1227354119177455,36.16808150631866,33.97491849368134,94.41624365482237,84.5766765967776,35.383833333333335,34.685833333333335,35.03483333333334,35.0715,0.5625344433899351,2.272749722302384,-5.5837563451776395,23.0,2024-08-19 10:00:00-04:00,-0.651372482722222,-0.7587581226927911,-0.8660254037844384,-0.5000000000000004,0.1900000000000048,0,-1,36.35,37.154380707438094,35.14342893884287
36.37,36.66,36.37,36.48,329964.0,MTCH,34.7358,34.41455,0.3956053284533992,71.40302019252832,2.328190743338004,-0.2765755929438692,0.1557576365391474,36.39056198528649,33.95443801471351,91.70506912442396,93.49053175504064,35.49516666666666,34.78016666666666,35.13766666666667,35.1725,0.6248526142009024,2.092493446109854,-8.294930875576044,23.0,2024-08-19 11:00:00-04:00,-0.651372482722222,-0.7587581226927911,-0.8660254037844384,-0.5000000000000004,0.1299999999999954,-1,-1,36.48,37.271210656906796,35.2931840146398
23.67,24.0,23.67,24.0,118831.0,UGI,23.7368,23.9201,0.1603797400044442,66.54838940926673,1.9541206457094344,0.6462463460925703,0.0564977825163115,23.864808859021014,23.237191140978982,100.0,76.90235690235681,23.676333333333336,23.40633333333333,23.541333333333338,23.551,0.1609805480240524,2.789156860945184,-0.0,31.0,2024-08-15 10:00:00-04:00,0.1011683219874327,-0.994869323391895,-0.8660254037844384,-0.5000000000000004,0.3399999999999998,0,-1,24.0,24.32075948000889,23.518860779986667
24.41,24.63,24.39,24.55,117342.0,UGI,23.8534,24.129300000000004,0.1546371152915608,66.12770961313214,0.0407497962510251,3.147093125993992,-0.0114206638937362,24.637086067019062,24.09091393298094,78.94736842105303,67.77237210673808,24.512666666666668,24.204666666666668,24.358666666666664,24.364,0.1400901965088159,1.3277160332078974,-21.052631578946976,31.0,2024-08-20 10:00:00-04:00,-0.7907757369376986,-0.6121059825476627,-0.8660254037844384,-0.5000000000000004,0.129999999999999,0,-1,24.55,24.85927423058312,24.08608865412532
24.51,24.57,24.46,24.56,159478.0,UGI,23.896,24.14935,0.1531309820626213,65.3554323695605,0.8210180623973699,-0.1274531796271878,-0.0131850788187623,24.63314352417017,24.181856475829836,80.55555555555544,75.97465886939601,24.556166666666662,24.24516666666667,24.40066666666667,24.4075,0.1157526855433969,1.3174640336342118,-19.444444444444553,31.0,2024-08-20 12:00:00-04:00,-0.7907757369376986,-0.6121059825476627,-0.8660254037844384,-0.5000000000000004,0.0499999999999971,0,-1,24.56,24.86626196412524,24.100607053812134
24.54,24.65,24.54,24.63,345626.0,UGI,23.9668,24.174449999999997,0.1394164604925579,67.81568928699653,0.6127450980392098,1.8376984843757695,-0.0123244944454243,24.652769292160148,24.267230707839857,94.73684210526324,84.35672514619898,24.591,24.318,24.4545,24.46,0.0988885603515453,1.7191068349630552,-5.263157894736744,31.0,2024-08-20 15:00:00-04:00,-0.7907757369376986,-0.6121059825476627,-0.8660254037844384,-0.5000000000000004,0.0799999999999983,0,-1,24.63,24.908832920985116,24.211750618522327
24.81,24.81,24.63,24.76,68500.0,UGI,23.9932,24.18285,0.1423152847430895,72.23372916842752,1.2264922322158656,-0.801808891692176,-0.0029167194762675,24.696329127192445,24.273670872807553,90.00000000000057,87.50487329434736,24.615666666666662,24.337666666666667,24.476666666666667,24.485,0.1084095548322503,2.5366767756359554,-9.999999999999432,31.0,2024-08-21 09:30:00-04:00,-0.8978045395707417,-0.4403941515576342,-0.8660254037844384,-0.5000000000000004,0.1300000000000025,0,-1,24.76,25.04463056948618,24.333054145770735
24.56,24.8,24.52,24.78,499143.0,UGI,24.338,24.277600000000003,0.1332676782508948,65.6102512172366,0.3645200486026725,2.1634375891244413,-0.0130388881160452,24.764736832111144,24.418263167888856,94.73684210526324,49.83846562793925,24.702499999999997,24.475500000000004,24.589,24.5915,0.0888686197649219,2.121108671414357,-5.263157894736744,31.0,2024-08-23 10:00:00-04:00,-0.9987165071710528,-0.0506491688387135,-0.8660254037844384,-0.5000000000000004,0.2300000000000004,0,-1,24.78,25.046535356501792,24.38019696524732
24.78,24.89,24.68,24.85,373502.0,UGI,24.467,24.30475,0.1367022295650786,65.0724109887469,1.511437908496736,0.075153859882439,0.0037166809570303,24.805915376179925,24.413084623820076,89.58333333333385,56.25000000000029,24.731833333333334,24.49283333333333,24.612333333333332,24.6095,0.1007589619886327,2.386884454279444,-10.416666666666142,31.0,2024-08-26 09:30:00-04:00,-0.848644257494751,0.5289640103269624,-0.8660254037844384,-0.5000000000000004,0.2300000000000004,0,-1,24.85,25.123404459130157,24.439893311304765
24.89,24.96,24.84,24.92,72753.0,UGI,24.5392,24.3179,0.1521869111466109,65.21090070259034,0.5649717514124316,-0.6257369206234888,0.0186870721369141,24.91805881716992,24.37394118283008,83.33333333333363,72.77777777777779,24.793333333333333,24.500333333333337,24.64683333333333,24.646,0.1395632284551152,1.963267853810947,-16.66666666666637,31.0,2024-08-26 13:00:00-04:00,-0.848644257494751,0.5289640103269624,-0.8660254037844384,-0.5000000000000004,0.0400000000000027,0,-1,24.92,25.224373822293224,24.46343926656017
25.0,25.29,24.97,25.29,132371.0,UGI,24.706999999999997,24.37545,0.1666487501595026,70.86315428398397,2.6379870129870073,-0.6324773510360356,0.0420984493879683,25.1230327620036,24.420967237996397,100.0,87.09732988802769,24.907666666666664,24.613666666666667,24.76066666666667,24.772,0.1800760073441776,2.87656311154185,-0.0,31.0,2024-09-04 09:30:00-04:00,0.72479278722912,0.6889669190756866,-1.0,-1.8369701987210294e-16,0.3699999999999974,0,-1,25.29,25.623297500319005,24.79005374952149
24.33,24.45,24.2,24.3,145594.0,UGI,23.8114,24.19775,0.161954697413453,66.58798390034141,1.7161992465466729,-0.6393179459103262,0.0287609208346006,24.23969545054257,23.780304549457423,78.26086956521752,73.96574440052704,24.157,23.863,24.01,24.01,0.1178312799145619,2.4611461422661143,-21.73913043478247,31.0,2024-09-19 09:30:00-04:00,-0.651372482722222,-0.7587581226927911,-1.0,-1.8369701987210294e-16,0.1400000000000005,0,-1,24.3,24.623909394826907,23.814135907759642
24.38,24.6,24.27,24.57,81272.0,UGI,24.103399999999997,24.29165,0.1568640900801031,66.11849149406834,2.16216216216216,-0.6475659361150381,0.0224889472431846,24.660729011543285,23.919270988456713,95.45454545454528,77.17337307501232,24.442333333333337,24.131333333333338,24.28683333333333,24.29,0.1901799701666701,1.472289640989082,-4.545454545454716,31.0,2024-09-24 09:30:00-04:00,-0.9884683243281114,0.1514277775045766,-1.0,-1.8369701987210294e-16,0.2800000000000011,0,-1,24.57,24.883728180160208,24.09940772975969
24.97,25.22,24.94,25.15,147085.0,UGI,24.609,24.4076,0.1630441763462702,67.39396347471802,2.028397565922921,1.2561817400908089,0.0115484532407902,25.0869694370052,24.5880305629948,89.85507246376804,81.5961621691173,24.9795,24.681500000000003,24.830499999999997,24.8375,0.1279751209371025,2.4418808727173476,-10.14492753623196,31.0,2024-09-30 10:00:00-04:00,-0.2012985200886611,0.9795299412524944,-1.0,-1.8369701987210294e-16,0.1699999999999981,0,-1,25.15,25.47608835269254,24.66086747096119
